"","game_id","team_winner","team_loser","team_home_result","team_away_result","team_home_elo_pre","team_away_elo_pre","team_home_elo_pre_diff","team_away_elo_pre_diff","team_home_win_prob","team_away_win_prob"
"3442","19950903DETPIT","PIT","DET","Win","Loss",1181,1092,89,-89,0.623491046910521,0.376508953089479
"3443","19950903KCSEA","KC","SEA","Loss","Win",829,1037,-208,208,0.231050684760573,0.768949315239427
"3444","19950903ARIWAS","WAS","ARI","Win","Loss",751,1013,-262,262,0.177142480565418,0.822857519434582
"3445","19950904DALNYG","DAL","NYG","Loss","Win",1139,1174,-35,35,0.450759110236309,0.549240889763691
"3446","19950910PHIARI","PHI","ARI","Loss","Win",931,805,126,-126,0.672012559532769,0.327987440467231
"3447","19950910CARBUF","BUF","CAR","Win","Loss",881,945,-64,64,0.410494093400947,0.589505906599053
"3448","19950910JAXCIN","CIN","JAX","Win","Loss",863,919,-56,56,0.421526483468572,0.578473516531428
"3449","19950910TBCLE","CLE","TB","Win","Loss",1042,943,99,-99,0.636837351704233,0.363162648295767
"3450","19950910DENDAL","DAL","DEN","Win","Loss",1219,1025,194,-194,0.753609889833182,0.246390110166818
"3451","19950910PITTEN","PIT","TEN","Loss","Win",836,1219,-383,383,0.0878507251348208,0.912149274865179
"3452","19950910NYGKC","KC","NYG","Win","Loss",1060,1094,-34,34,0.452159129803887,0.547840870196113
"3453","19950910DETMIN","MIN","DET","Win","Loss",1067,1054,13,-13,0.518329707653638,0.481670292346362
"3454","19950910MIANE","MIA","NE","Loss","Win",1219,1073,146,-146,0.697138427323218,0.302861572676782
"3455","19950910INDNYJ","IND","NYJ","Loss","Win",780,938,-158,158,0.288212469754797,0.711787530245203
"3456","19950910SEALAC","LAC","SEA","Win","Loss",1078,806,272,-272,0.831891101370679,0.168108898629321
"3457","19950910ATLSF","SF","ATL","Win","Loss",1273,1023,250,-250,0.811620441094209,0.188379558905791
"3458","19950910NOLAR","LAR","NO","Win","Loss",793,1037,-244,244,0.19415939056206,0.80584060943794
"3459","19950910OAKWAS","OAK","WAS","Loss","Win",833,1157,-324,324,0.125998359701105,0.874001640298895
"3460","19950911GBCHI","GB","CHI","Loss","Win",1069,1018,51,-51,0.571546272246925,0.428453727753075
"3461","19950917INDBUF","BUF","IND","Win","Loss",940,967,-27,27,0.461974962386335,0.538025037613665
"3462","19950917LARCAR","LAR","CAR","Loss","Win",886,874,12,-12,0.516920611170868,0.483079388829132
"3463","19950917WASDEN","DEN","WAS","Win","Loss",1000,820,180,-180,0.737740859893462,0.262259140106538
"3464","19950917ARIDET","ARI","DET","Loss","Win",1006,864,142,-142,0.692182352918323,0.307817647081677
"3465","19950917NYGGB","GB","NYG","Win","Loss",1075,1039,36,-36,0.550640296957313,0.449359703042687
"3466","19950917CLETEN","CLE","TEN","Loss","Win",827,1078,-251,251,0.187426676127612,0.812573323872388
"3467","19950917OAKKC","KC","OAK","Win","Loss",1115,1170,-55,55,0.422910062614541,0.577089937385459
"3468","19950917DALMIN","DAL","MIN","Loss","Win",1115,1244,-129,129,0.324164832971989,0.675835167028011
"3469","19950917ATLNO","ATL","NO","Loss","Win",956,1004,-48,48,0.43262082409004,0.56737917590996
"3470","19950917JAXNYJ","NYJ","JAX","Win","Loss",751,861,-110,110,0.34867183211248,0.65132816788752
"3471","19950917LACPHI","LAC","PHI","Loss","Win",872,1095,-223,223,0.215224350689732,0.784775649310268
"3472","19950917NESF","SF","NE","Win","Loss",1292,1149,143,-143,0.693424711106012,0.306575288893988
"3473","19950917CINSEA","SEA","CIN","Win","Loss",789,921,-132,132,0.320360672512821,0.679639327487179
"3474","19950917CHITB","CHI","TB","Loss","Win",907,1012,-105,105,0.355232720370646,0.644767279629354
"3475","19950918PITMIA","MIA","PIT","Win","Loss",1143,1228,-85,85,0.381890125955205,0.618109874044795
"3476","19950924NYJATL","ATL","NYJ","Win","Loss",1047,816,231,-231,0.792952435748726,0.207047564251274
"3477","19950924TENCIN","TEN","CIN","Loss","Win",853,808,45,-45,0.563204572115286,0.436795427884714
"3478","19950924KCCLE","CLE","KC","Win","Loss",1097,1173,-76,76,0.394080053921125,0.605919946078875
"3479","19950924ARIDAL","DAL","ARI","Win","Loss",1276,933,343,-343,0.887375460066291,0.112624539933709
"3480","19950924GBJAX","GB","JAX","Loss","Win",796,1120,-324,324,0.125998359701105,0.874001640298895
"3481","19950924NONYG","NYG","NO","Win","Loss",994,913,81,-81,0.612705782909538,0.387294217090462
"3482","19950924PHIOAK","OAK","PHI","Win","Loss",1112,850,262,-262,0.822857519434582,0.177142480565418
"3483","19950924MINPIT","MIN","PIT","Loss","Win",1166,1083,83,-83,0.615410631836756,0.384589368163244
"3484","19950924DENLAC","LAC","DEN","Win","Loss",1117,1026,91,-91,0.626172733972248,0.373827266027752
"3485","19950924CHILAR","LAR","CHI","Win","Loss",926,1048,-122,122,0.333112352796629,0.666887647203371
"3486","19950924WASTB","TB","WAS","Win","Loss",871,794,77,-77,0.607279761191241,0.392720238808759
"3487","19950925SFDET","DET","SF","Win","Loss",937,1323,-386,386,0.0861711506305092,0.913828849369491
"3488","19951001KCARI","KC","ARI","Loss","Win",922,1112,-190,190,0.250870973144106,0.749129026855894
"3489","19951001NEATL","ATL","NE","Win","Loss",1068,1118,-50,50,0.429841897599333,0.570158102400667
"3490","19951001TBCAR","TB","CAR","Loss","Win",834,910,-76,76,0.394080053921125,0.605919946078875
"3491","19951001MIACIN","MIA","CIN","Loss","Win",797,1205,-408,408,0.074580991149529,0.925419008850471
"3492","19951001JAXTEN","JAX","TEN","Loss","Win",864,783,81,-81,0.612705782909538,0.387294217090462
"3493","19951001LARIND","IND","LAR","Win","Loss",913,993,-80,80,0.388648705394761,0.611351294605239
"3494","19951001PHINO","PHI","NO","Loss","Win",874,832,42,-42,0.559022917795601,0.440977082204399
"3495","19951001OAKNYJ","OAK","NYJ","Loss","Win",795,1130,-335,335,0.11812661678207,0.88187338321793
